x,y,label
85.0,372.0,0.0
86.0,371.0,0.0
87.0,371.0,0.0
89.0,370.0,0.0
93.0,368.0,0.0
109.0,354.0,0.0
114.0,349.0,0.0
121.0,336.0,0.0
134.0,321.0,0.0
150.0,304.0,0.0
178.0,280.0,0.0
199.0,269.0,0.0
230.0,252.0,0.0
257.0,236.0,0.0
279.0,221.0,0.0
295.0,207.0,0.0
308.0,196.0,0.0
318.0,185.0,0.0
331.0,177.0,0.0
342.0,168.0,0.0
353.0,163.0,0.0
357.0,160.0,0.0
361.0,157.0,0.0
364.0,153.0,0.0
365.0,153.0,0.0
366.0,152.0,0.0
367.0,151.0,0.0
369.0,146.0,0.0
374.0,143.0,0.0
375.0,143.0,0.0
376.0,142.0,0.0
378.0,142.0,0.0
384.0,138.0,0.0
388.0,135.0,0.0
393.0,131.0,0.0
396.0,129.0,0.0
397.0,129.0,0.0
397.0,128.0,0.0
398.0,126.0,0.0
401.0,122.0,0.0
402.0,121.0,0.0
402.0,119.0,0.0
402.0,117.0,0.0
403.0,117.0,0.0
403.0,115.0,0.0
404.0,113.0,0.0
404.0,112.0,0.0
404.0,110.0,0.0
404.0,109.0,0.0
404.0,108.0,0.0
403.0,108.0,0.0
401.0,108.0,0.0
390.0,108.0,0.0
381.0,114.0,0.0
374.0,117.0,0.0
363.0,126.0,0.0
354.0,133.0,0.0
340.0,146.0,0.0
332.0,152.0,0.0
316.0,168.0,0.0
307.0,174.0,0.0
292.0,186.0,0.0
279.0,206.0,0.0
264.0,215.0,0.0
249.0,227.0,0.0
235.0,241.0,0.0
221.0,255.0,0.0
208.0,269.0,0.0
204.0,278.0,0.0
192.0,290.0,0.0
179.0,304.0,0.0
166.0,318.0,0.0
153.0,332.0,0.0
139.0,344.0,0.0
127.0,351.0,0.0
116.0,360.0,0.0
109.0,367.0,0.0
105.0,371.0,0.0
104.0,372.0,0.0
102.0,374.0,0.0
101.0,377.0,0.0
101.0,378.0,0.0
103.0,378.0,0.0
112.0,369.0,0.0
120.0,363.0,0.0
133.0,352.0,0.0
151.0,338.0,0.0
167.0,325.0,0.0
190.0,304.0,0.0
209.0,285.0,0.0
221.0,271.0,0.0
232.0,252.0,0.0
238.0,236.0,0.0
245.0,221.0,0.0
252.0,203.0,0.0
257.0,189.0,0.0
266.0,174.0,0.0
270.0,160.0,0.0
274.0,146.0,0.0
277.0,139.0,0.0
279.0,135.0,0.0
279.0,132.0,0.0
281.0,128.0,0.0
283.0,124.0,0.0
284.0,119.0,0.0
286.0,114.0,0.0
287.0,112.0,0.0
288.0,109.0,0.0
288.0,107.0,0.0
288.0,106.0,0.0
288.0,105.0,0.0
288.0,104.0,0.0
288.0,103.0,0.0
286.0,103.0,0.0
282.0,105.0,0.0
281.0,106.0,0.0
276.0,111.0,0.0
275.0,113.0,0.0
270.0,116.0,0.0
250.0,132.0,0.0
239.0,141.0,0.0
237.0,143.0,0.0
225.0,160.0,0.0
217.0,169.0,0.0
212.0,179.0,0.0
208.0,185.0,0.0
205.0,190.0,0.0
204.0,196.0,0.0
200.0,199.0,0.0
200.0,200.0,0.0
196.0,214.0,0.0
191.0,222.0,0.0
189.0,228.0,0.0
187.0,232.0,0.0
182.0,240.0,0.0
179.0,246.0,0.0
177.0,251.0,0.0
177.0,252.0,0.0
174.0,257.0,0.0
164.0,270.0,0.0
163.0,271.0,0.0
159.0,276.0,0.0
157.0,278.0,0.0
145.0,290.0,0.0
141.0,298.0,0.0
136.0,304.0,0.0
133.0,308.0,0.0
133.0,309.0,0.0
133.0,311.0,0.0
132.0,311.0,0.0
130.0,315.0,0.0
129.0,319.0,0.0
128.0,323.0,0.0
127.0,326.0,0.0
125.0,331.0,0.0
125.0,332.0,0.0
125.0,333.0,0.0
125.0,334.0,0.0
124.0,336.0,0.0
126.0,333.0,0.0
130.0,327.0,0.0
138.0,322.0,0.0
146.0,317.0,0.0
157.0,311.0,0.0
163.0,306.0,0.0
171.0,300.0,0.0
181.0,294.0,0.0
195.0,281.0,0.0
210.0,272.0,0.0
225.0,262.0,0.0
240.0,253.0,0.0
259.0,245.0,0.0
272.0,238.0,0.0
287.0,229.0,0.0
296.0,224.0,0.0
309.0,216.0,0.0
317.0,210.0,0.0
328.0,200.0,0.0
337.0,193.0,0.0
343.0,189.0,0.0
352.0,179.0,0.0
353.0,178.0,0.0
369.0,164.0,0.0
374.0,158.0,0.0
377.0,154.0,0.0
378.0,152.0,0.0
387.0,143.0,0.0
390.0,138.0,0.0
395.0,130.0,0.0
396.0,129.0,0.0
404.0,120.0,0.0
404.0,119.0,0.0
406.0,117.0,0.0
408.0,114.0,0.0
409.0,112.0,0.0
411.0,109.0,0.0
413.0,105.0,0.0
414.0,104.0,0.0
415.0,101.0,0.0
416.0,98.0,0.0
417.0,96.0,0.0
417.0,94.0,0.0
417.0,91.0,0.0
417.0,90.0,0.0
417.0,89.0,0.0
417.0,85.0,0.0
415.0,83.0,0.0
412.0,83.0,0.0
409.0,81.0,0.0
403.0,81.0,0.0
394.0,81.0,0.0
390.0,81.0,0.0
385.0,81.0,0.0
381.0,81.0,0.0
376.0,81.0,0.0
372.0,82.0,0.0
364.0,87.0,0.0
364.0,88.0,0.0
352.0,100.0,0.0
349.0,102.0,0.0
334.0,118.0,0.0
325.0,127.0,0.0
320.0,135.0,0.0
315.0,140.0,0.0
313.0,143.0,0.0
305.0,155.0,0.0
302.0,161.0,0.0
298.0,165.0,0.0
297.0,168.0,0.0
280.0,188.0,0.0
276.0,194.0,0.0
275.0,195.0,0.0
270.0,201.0,0.0
261.0,216.0,0.0
260.0,217.0,0.0
246.0,231.0,0.0
241.0,237.0,0.0
236.0,243.0,0.0
233.0,246.0,0.0
217.0,262.0,0.0
215.0,264.0,0.0
201.0,278.0,0.0
197.0,284.0,0.0
196.0,285.0,0.0
194.0,289.0,0.0
182.0,303.0,0.0
181.0,304.0,0.0
172.0,315.0,0.0
169.0,318.0,0.0
168.0,319.0,0.0
164.0,325.0,0.0
158.0,333.0,0.0
155.0,337.0,0.0
153.0,339.0,0.0
145.0,350.0,0.0
143.0,354.0,0.0
139.0,360.0,0.0
138.0,360.0,0.0
133.0,366.0,0.0
130.0,369.0,0.0
128.0,372.0,0.0
125.0,375.0,0.0
124.0,376.0,0.0
122.0,379.0,0.0
120.0,382.0,0.0
120.0,383.0,0.0
121.0,385.0,0.0
121.0,386.0,0.0
125.0,387.0,0.0
129.0,387.0,0.0
136.0,387.0,0.0
137.0,387.0,0.0
141.0,387.0,0.0
157.0,381.0,0.0
163.0,380.0,0.0
166.0,378.0,0.0
176.0,374.0,0.0
180.0,371.0,0.0
195.0,360.0,0.0
207.0,352.0,0.0
219.0,343.0,0.0
227.0,338.0,0.0
235.0,328.0,0.0
236.0,327.0,0.0
242.0,319.0,0.0
245.0,312.0,0.0
246.0,310.0,0.0
247.0,307.0,0.0
251.0,296.0,0.0
253.0,284.0,0.0
254.0,275.0,0.0
254.0,274.0,0.0
256.0,264.0,0.0
257.0,252.0,0.0
257.0,249.0,0.0
257.0,245.0,0.0
257.0,238.0,0.0
257.0,234.0,0.0
257.0,228.0,0.0
259.0,224.0,0.0
261.0,219.0,0.0
261.0,218.0,0.0
262.0,215.0,0.0
263.0,212.0,0.0
268.0,206.0,0.0
270.0,204.0,0.0
272.0,201.0,0.0
273.0,201.0,0.0
274.0,200.0,0.0
275.0,197.0,0.0
281.0,195.0,0.0
284.0,194.0,0.0
286.0,192.0,0.0
294.0,188.0,0.0
299.0,185.0,0.0
303.0,184.0,0.0
306.0,181.0,0.0
308.0,180.0,0.0
310.0,179.0,0.0
313.0,178.0,0.0
321.0,173.0,0.0
322.0,173.0,0.0
331.0,171.0,0.0
334.0,170.0,0.0
334.0,169.0,0.0
336.0,169.0,0.0
337.0,169.0,0.0
338.0,168.0,0.0
339.0,168.0,0.0
340.0,168.0,0.0
342.0,168.0,0.0
