x,y,label
115.0,250.0,0.0
114.0,250.0,0.0
113.0,250.0,0.0
112.0,250.0,0.0
117.0,250.0,0.0
124.0,250.0,0.0
131.0,249.0,0.0
142.0,247.0,0.0
159.0,246.0,0.0
179.0,246.0,0.0
207.0,246.0,0.0
240.0,242.0,0.0
258.0,242.0,0.0
286.0,240.0,0.0
309.0,239.0,0.0
314.0,239.0,0.0
316.0,238.0,0.0
317.0,238.0,0.0
318.0,238.0,0.0
322.0,238.0,0.0
324.0,238.0,0.0
326.0,238.0,0.0
329.0,240.0,0.0
330.0,241.0,0.0
331.0,242.0,0.0
334.0,244.0,0.0
334.0,245.0,0.0
334.0,249.0,0.0
334.0,251.0,0.0
334.0,256.0,0.0
334.0,263.0,0.0
329.0,268.0,0.0
315.0,277.0,0.0
292.0,282.0,0.0
266.0,282.0,0.0
243.0,282.0,0.0
217.0,282.0,0.0
194.0,282.0,0.0
180.0,282.0,0.0
175.0,282.0,0.0
166.0,282.0,0.0
161.0,281.0,0.0
154.0,278.0,0.0
152.0,277.0,0.0
146.0,272.0,0.0
132.0,258.0,0.0
124.0,249.0,0.0
118.0,238.0,0.0
111.0,231.0,0.0
108.0,227.0,0.0
108.0,225.0,0.0
106.0,218.0,0.0
106.0,213.0,0.0
106.0,206.0,0.0
106.0,201.0,0.0
106.0,196.0,0.0
113.0,189.0,0.0
122.0,186.0,0.0
148.0,177.0,0.0
185.0,175.0,0.0
237.0,175.0,0.0
284.0,175.0,0.0
325.0,175.0,0.0
362.0,175.0,0.0
392.0,175.0,0.0
418.0,175.0,0.0
425.0,175.0,0.0
427.0,176.0,0.0
427.0,177.0,0.0
426.0,186.0,0.0
423.0,190.0,0.0
406.0,209.0,0.0
393.0,219.0,0.0
372.0,231.0,0.0
352.0,239.0,0.0
318.0,240.0,0.0
271.0,244.0,0.0
207.0,249.0,0.0
155.0,256.0,0.0
103.0,262.0,0.0
68.0,262.0,0.0
40.0,262.0,0.0
17.0,262.0,0.0
10.0,262.0,0.0
6.0,262.0,0.0
4.0,262.0,0.0
4.0,259.0,0.0
5.0,253.0,0.0
11.0,243.0,0.0
18.0,233.0,0.0
27.0,225.0,0.0
46.0,212.0,0.0
70.0,204.0,0.0
95.0,198.0,0.0
153.0,191.0,0.0
211.0,189.0,0.0
258.0,189.0,0.0
292.0,189.0,0.0
323.0,189.0,0.0
346.0,189.0,0.0
357.0,189.0,0.0
361.0,189.0,0.0
361.0,190.0,0.0
362.0,190.0,0.0
362.0,191.0,0.0
362.0,192.0,0.0
362.0,195.0,0.0
362.0,202.0,0.0
362.0,209.0,0.0
362.0,214.0,0.0
362.0,216.0,0.0
352.0,229.0,0.0
340.0,238.0,0.0
321.0,246.0,0.0
298.0,254.0,0.0
277.0,262.0,0.0
254.0,270.0,0.0
235.0,274.0,0.0
217.0,277.0,0.0
203.0,281.0,0.0
194.0,281.0,0.0
187.0,281.0,0.0
185.0,281.0,0.0
185.0,279.0,0.0
185.0,275.0,0.0
185.0,272.0,0.0
185.0,269.0,0.0
189.0,260.0,0.0
191.0,258.0,0.0
202.0,248.0,0.0
213.0,240.0,0.0
234.0,233.0,0.0
252.0,227.0,0.0
266.0,226.0,0.0
280.0,223.0,0.0
283.0,223.0,0.0
285.0,223.0,0.0
