x,y,label
64.0,54.0,0.0
63.0,57.0,0.0
61.0,62.0,0.0
61.0,66.0,0.0
56.0,82.0,0.0
53.0,96.0,0.0
48.0,107.0,0.0
44.0,121.0,0.0
40.0,138.0,0.0
33.0,148.0,0.0
28.0,162.0,0.0
25.0,174.0,0.0
22.0,190.0,0.0
21.0,195.0,0.0
20.0,202.0,0.0
19.0,208.0,0.0
19.0,212.0,0.0
19.0,213.0,0.0
19.0,214.0,0.0
20.0,211.0,0.0
24.0,205.0,0.0
36.0,191.0,0.0
41.0,186.0,0.0
54.0,172.0,0.0
69.0,151.0,0.0
75.0,141.0,0.0
95.0,116.0,0.0
107.0,95.0,0.0
115.0,82.0,0.0
123.0,73.0,0.0
124.0,70.0,0.0
125.0,69.0,0.0
127.0,65.0,0.0
129.0,64.0,0.0
129.0,63.0,0.0
129.0,64.0,0.0
129.0,71.0,0.0
124.0,85.0,0.0
115.0,105.0,0.0
104.0,120.0,0.0
98.0,139.0,0.0
92.0,155.0,0.0
87.0,173.0,0.0
81.0,190.0,0.0
80.0,199.0,0.0
78.0,204.0,0.0
78.0,206.0,0.0
78.0,209.0,0.0
78.0,210.0,0.0
78.0,213.0,0.0
79.0,213.0,0.0
83.0,208.0,0.0
93.0,195.0,0.0
98.0,189.0,0.0
101.0,182.0,0.0
107.0,174.0,0.0
118.0,158.0,0.0
129.0,143.0,0.0
131.0,137.0,0.0
133.0,135.0,0.0
134.0,134.0,0.0
135.0,133.0,0.0
136.0,132.0,0.0
137.0,132.0,0.0
137.0,136.0,0.0
137.0,140.0,0.0
136.0,144.0,0.0
134.0,148.0,0.0
132.0,153.0,0.0
129.0,158.0,0.0
127.0,163.0,0.0
122.0,172.0,0.0
121.0,177.0,0.0
120.0,182.0,0.0
119.0,187.0,0.0
119.0,190.0,0.0
119.0,194.0,0.0
119.0,198.0,0.0
118.0,201.0,0.0
118.0,203.0,0.0
118.0,206.0,0.0
118.0,209.0,0.0
118.0,210.0,0.0
118.0,211.0,0.0
118.0,212.0,0.0
118.0,213.0,0.0
118.0,214.0,0.0
118.0,215.0,0.0
118.0,214.0,0.0
118.0,213.0,0.0
157.0,176.0,1.0
155.0,179.0,1.0
154.0,184.0,1.0
151.0,189.0,1.0
149.0,196.0,1.0
145.0,202.0,1.0
140.0,213.0,1.0
136.0,223.0,1.0
133.0,232.0,1.0
128.0,240.0,1.0
123.0,249.0,1.0
119.0,259.0,1.0
114.0,267.0,1.0
111.0,274.0,1.0
109.0,277.0,1.0
108.0,282.0,1.0
106.0,284.0,1.0
103.0,291.0,1.0
102.0,292.0,1.0
102.0,294.0,1.0
101.0,296.0,1.0
101.0,298.0,1.0
101.0,299.0,1.0
101.0,300.0,1.0
103.0,300.0,1.0
105.0,300.0,1.0
111.0,300.0,1.0
118.0,298.0,1.0
125.0,292.0,1.0
136.0,282.0,1.0
148.0,270.0,1.0
162.0,256.0,1.0
168.0,251.0,1.0
174.0,241.0,1.0
176.0,236.0,1.0
