x,y,label
71.0,67.0,0.0
70.0,68.0,0.0
67.0,72.0,0.0
67.0,74.0,0.0
66.0,79.0,0.0
65.0,86.0,0.0
63.0,97.0,0.0
63.0,107.0,0.0
63.0,118.0,0.0
63.0,130.0,0.0
61.0,141.0,0.0
61.0,153.0,0.0
61.0,167.0,0.0
61.0,181.0,0.0
62.0,195.0,0.0
66.0,204.0,0.0
70.0,208.0,0.0
76.0,208.0,0.0
78.0,208.0,0.0
82.0,206.0,0.0
87.0,197.0,0.0
94.0,184.0,0.0
98.0,168.0,0.0
103.0,147.0,0.0
112.0,122.0,0.0
119.0,96.0,0.0
120.0,78.0,0.0
121.0,68.0,0.0
122.0,59.0,0.0
122.0,50.0,0.0
122.0,45.0,0.0
122.0,41.0,0.0
122.0,38.0,0.0
122.0,37.0,0.0
122.0,36.0,0.0
119.0,36.0,0.0
118.0,36.0,0.0
116.0,36.0,0.0
114.0,36.0,0.0
112.0,36.0,0.0
111.0,36.0,0.0
107.0,36.0,0.0
103.0,35.0,0.0
101.0,35.0,0.0
97.0,35.0,0.0
95.0,35.0,0.0
94.0,35.0,0.0
90.0,36.0,0.0
88.0,39.0,0.0
88.0,43.0,0.0
87.0,44.0,0.0
85.0,46.0,0.0
84.0,50.0,0.0
81.0,52.0,0.0
81.0,53.0,0.0
79.0,55.0,0.0
79.0,58.0,0.0
190.0,68.0,1.0
188.0,77.0,1.0
188.0,86.0,1.0
188.0,91.0,1.0
187.0,109.0,1.0
185.0,125.0,1.0
185.0,142.0,1.0
185.0,149.0,1.0
185.0,170.0,1.0
185.0,179.0,1.0
185.0,193.0,1.0
185.0,198.0,1.0
185.0,202.0,1.0
185.0,203.0,1.0
186.0,203.0,1.0
263.0,93.0,2.0
267.0,93.0,2.0
271.0,93.0,2.0
283.0,93.0,2.0
290.0,93.0,2.0
311.0,93.0,2.0
339.0,94.0,2.0
355.0,97.0,2.0
366.0,100.0,2.0
371.0,100.0,2.0
373.0,101.0,2.0
373.0,102.0,2.0
373.0,105.0,2.0
373.0,108.0,2.0
372.0,111.0,2.0
368.0,117.0,2.0
350.0,133.0,2.0
330.0,146.0,2.0
308.0,162.0,2.0
288.0,175.0,2.0
280.0,179.0,2.0
275.0,184.0,2.0
274.0,186.0,2.0
273.0,187.0,2.0
273.0,188.0,2.0
273.0,190.0,2.0
276.0,193.0,2.0
280.0,193.0,2.0
294.0,197.0,2.0
310.0,199.0,2.0
326.0,200.0,2.0
342.0,200.0,2.0
352.0,200.0,2.0
361.0,200.0,2.0
364.0,200.0,2.0
365.0,200.0,2.0
366.0,199.0,2.0
367.0,199.0,2.0
367.0,198.0,2.0
65.0,262.0,3.0
70.0,262.0,3.0
72.0,262.0,3.0
78.0,264.0,3.0
85.0,265.0,3.0
90.0,268.0,3.0
94.0,268.0,3.0
95.0,269.0,3.0
99.0,271.0,3.0
100.0,271.0,3.0
100.0,272.0,3.0
100.0,274.0,3.0
100.0,277.0,3.0
100.0,280.0,3.0
100.0,283.0,3.0
96.0,287.0,3.0
91.0,292.0,3.0
